Food,Portion,Unit,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
White cake with icing,1,"piece, 2-layer cake",1.08891,0,0,0,0,0,0,0,0,0,0,0,0,127.80468,214.90551,0,415.29,2.9212
Yellow cake with icing,1,"piece, 2-layer cake",1.43008,0,0,0,0,0,0,0,0,0,0,0,0,106.88976,194.83231,0,400.03,2.7686
Fruit shortcake with whipped cream,1,"piece (3"" across)",0.16638,0,0,0,0,0,0,0.26078,0,0,0,0,0,33.3999,124.59146,0,211.22,2.36
Biscotti,1,biscotti,0.82112,0,0,0,0,0,0,0,0,0.35648,0,0,0.36153,31.7376,32.58602,0,144.96,1.1264
"Brownie, no icing",1,"brownie (2"" square)",0.6205,0,0,0,0,0,0,0,0,0.08024,0,0,0.11817,33.39072,47.98538,0,128.86,0.969
Brownie with icing,1,"brownie (2"" square)",0.69552,0,0,0,0,0,0,0,0,0.05922,0,0,0.08419,53.53992,56.6751,0,170.1,1.7808
Chocolate chip cookie,1,"medium (2"" across)",0.25,0,0,0,0,0,0,0,0,0,0,0,0.0198,19.2276,12.56597,0,48.1,0.748
Reduced-fat chocolate chip cookie,1,Nabisco Chips Ahoy!,0.30763,0,0,0,0,0,0,0,0,0,0,0,0,14.91398,13.92038,0,46.866,0.535
Chocolate fudge cookie,1,"medium (2"" across)",0.33319,0,0,0,0,0,0,0,0,0,0,0,0,16.06878,14.26922,0,56.29,0.5512
Moon pie,1,moon pie,0.77532,0,0,0,0,0,0,0,0,0,0,0,0,117.50076,122.82563,0,328.38,3.6816
Oreo or thin mint cookie,1,regular Oreo,0.24112,0.01507,0,0,0,0,0,0,0,0,0,0,0,20.02077,14.71117,0,51.92,0.4026
Reduced-fat Oreo,1,cookie,0.33339,0,0,0,0,0,0,0,0,0,0,0,0,6.04544,19.50147,0,46,0.1426
Chocolate wafer cookie,1,"medium (1-3/4"" across)",0.30756,0,0,0,0,0,0,0,0,0,0,0,0,14.83272,13.17159,0,51.96,0.5088
Fig bar (Fig Newton),1,"bar (bar = 1 1/2"")",0.25808,0,0,0,0,0,0,0.05536,0,0,0,0,0,9.82368,19.18232,0,55.68,0.1792
Fortune cookie,1,cookie,0.25216,0,0,0,0,0,0,0,0,0,0,0,0,1.61208,14.02525,0,30.24,0.0536
"Ice cream cone (wafer or cake, shell only)",1,cone,0.21912,0,0,0,0,0,0,0,0,0,0,0,0,2.17188,0.89267,0,16.68,0.0488
"Ice cream cone (sugar cone, shell only)",1,cone,0.434,0,0,0,0,0,0,0,0,0,0,0,0.00002,2.7954,9.80766,0,40.2,0.057
Marshmallow rice krispies bar,1,"bar (2"" square)",0.7161,0,0,0,0,0,0,0,0,0,0,0,0.00653,25.5393,43.07635,0,112.8,0.573
Oatmeal raisin cookie,1,"medium (2-5/8"" across)",0.38714,0.07644,0,0,0,0,0,0.00871,0,0,0,0,0.00009,19.53081,10.78908,0,58.5,0.5876
Reduced-fat oatmeal raisin cookie,1,cookie,0.40379,0.05373,0,0,0,0,0,0.03834,0,0,0,0,0.12432,0.00486,10.77396,0,51.57,0.0729
Peanut butter cookie,1,medium,0.26656,0,0,0,0,0,0,0,0,0.3056,0.0048,0,0.29874,14.2704,18.84424,0,76.32,0.7184
Shortbread cookie,1,small (Lorna Doone),0.26075,0.06279,0,0,0,0,0,0,0,0,0,0,0,14.32872,3.89462,0,35.14,0.4277
Sugar cookie,1,"medium (2 5/8"" across)",0.48336,0,0,0,0,0,0,0,0,0,0,0,0,30.00384,16.09016,0,76,1.0832
Vanilla sandwich cookie,1,sandwich,0.27225,0,0,0,0,0,0,0,0,0,0,0,0,19.47033,16.69578,0,53.13,0.3278
Vanilla wafer,1,medium,0.10752,0,0,0,0,0,0,0,0,0,0,0,0,5.1192,4.4653,0,17.64,0.1536
"Apple pie, two crust",1,"piece (1/8 of 9"" pie)",2.004,0,0,0,0,0,0,0.342,0,0,0,0,3.417,5.481,62.22031,0,355.5,5.7
Apple pie with crumb topping,1,"piece (1/8 of 9"" pie)",1.683,0,0,0,0,0,0,0.633,0,0,0,0,0,121.905,112.95717,0,363,2.745
Chocolate cream pie,1,"piece (1/8 of 9"" pie)",1.5768,0,0,0,0,0,0,0,0.32256,0.10944,0,0,0,160.35408,93.71666,0,380.16,6.552
Pumpkin pie,1,"piece (1/8 of 9"" pie)",1.4938,0,0.13398,0.13398,0,0,0,0,0.20482,0.2156,0,0,0,123.71436,62.88128,0,323.4,2.7412
Lemon meringue pie,1,"piece (1/8 of 9"" pie)",1.44261,0,0,0,0,0,0,0.09042,0,0.01781,0,0,0,105.15024,172.26509,0,367.16,2.4249
Pecan pie,1,"piece (1/8 of 9"" pie)",1.56294,0,0,0,0,0,0,0,0,1.03854,0,0,1.36217,108.10962,170.43489,0,456,4.0356
Cheese blintz,1,blintz,0.5754,0,0,0,0,0,0,0,0.0581,0,0,0,0,4.9833,1.1858,0,134.4,2.0041
Fruit blintz,1,blintz,0.4452,0,0,0,0,0,0,0.1092,0.0189,0,0,0,0,3.6288,1.9985,0,123.2,1.2852
Peach cobbler,0.5,cup,1.15649,0,0,0,0,0,0,0.4,0,0,0,0,0,42.34977,69.63792,0,209,1.069
Apple crisp,0.5,cup,0.85608,0,0,0,0,0,0,0.4,0,0,0,0,0.59655,29.16945,59.47296,0,192,0.803
Cream puff or éclair,1,éclair,1.58712,0,0,0,0,0,0,0,0.04182,0.13668,0,0,0,123.44346,26.92,0,267.24,4.2024
Plain Danish pastry,1,"medium (4-1/4"" across)",1.3481,0,0,0,0,0,0,0,0,0,0.0429,0,0.00592,124.75125,45.42993,0,261.95,3.692
Fruit-filled Danish pastry,1,"medium (4-1/4"" across)",1.44272,0,0,0,0,0,0,0.16543,0,0,0,0,0,111.63969,60.2752,0,263.41,3.4506
Cheese Danish pastry,1,"medium (5"" across)",2.74512,0,0,0,0,0,0,0,0,0,0,0,0.00423,211.64976,29.58228,0,418.88,7.6048
Fat-free cheese Danish pastry,1,slice,0.75936,0,0,0,0,0,0,0.00064,0.01216,0,0,0,0.00292,0.48096,41.41779,0,94.72,0.064
Cake doughnut,1,"medium (3-1/4"" across)",1.00627,0,0,0,0,0,0,0,0,0,0,0,0,93.89331,38.73166,0,197.87,1.7014
"Cake doughnut, frosted",1,"medium(3-1/4"" across)",1.02025,0,0,0,0,0,0,0,0,0,0.02438,0,0,145.37052,45.33875,0,251.22,4.2983
"Chocolate raised doughnut, frosted",1,"medium (3"" across)",0.89531,0,0,0,0,0,0,0,0,0,0.01491,0,0.00205,123.64011,88.49133,0,274.77,4.3168
Raised doughnut,1,"medium (3-3/4"" across)",1.086,0,0,0,0,0,0,0,0,0,0.018,0,0.00253,119.799,52.77024,0,241.8,3.486
"Raised doughnut, frosted",1,"medium (3"" across)",0.91306,0,0,0,0,0,0,0,0,0,0.01491,0,0.00205,122.90526,90.257,0,274.77,4.1961
Jelly doughnut,1,doughnut,0.89375,0,0,0,0,0,0,0.00325,0,0,0.00975,0,0.01098,104.47515,51.7056,0,221,3.146
Pop Tart,1,Pop Tart,1.95,0,0.00728,0,0,0.00728,0,0.02236,0,0,0,0,0.00012,44.7876,37.65402,0,204.36,0.7904
Breakfast bar,1,bar,0.73889,0.2664,0,0,0,0,0,0.00777,0,0,0,0,0.50304,0,49.89198,0,139.49,0.555
Meal replacement bar (Slim Fast bar),1,bar,0,0,0,0,0,0,0,0,0.15368,0.1241,0.07616,0,0.1057,38.36934,31.13551,0,142.8,2.4276
Granola bar,1,bar,0.54152,0.54152,0,0,0,0,0,0.00756,0,0.03808,0,0,0.05924,31.85784,27.59344,0,129.92,3.5532
Lowfat granola bar,1,bar,0.43488,0.28848,0,0,0,0,0,0.04104,0,0.04416,0,0,0.04608,5.65704,32.55741,0,95.28,0.1752
Chocolate-covered granola bar,1,Kudos bar,0.25272,0.21168,0,0,0,0,0,0,0,0,0,0,0.62544,38.87676,63.02001,0,171.36,2.9628
Fortified high energy bar (Powerbar),1,bar,1.248,0.1729,0,0,0,0,0,0,0,0.10465,0,0,0.12538,0.02925,43.48595,0,228.8,0.3315
Animal cracker,0.25,individual box,0.63954,0,0,0,0,0,0,0,0,0,0,0,0,16.89822,7.24506,0,63.555,0.49305
Graham cracker,1,large rectangle (2 squares),0.50204,0.25102,0,0,0,0,0,0,0,0,0,0,0,11.69532,16.72537,0,59.22,0.2128
Snack cracker,1,round cracker (Ritz),0.13062,0,0,0,0,0,0,0,0,0,0,0,0,6.64659,0.16189,0,15.06,0.1134
Reduced-fat snack cracker,1,round cracker (Ritz),0.1773,0,0,0,0,0,0,0,0,0,0,0,0,0.58914,0.75727,0,11.76,0.0135
Cheese cracker,0.25,cup bit-size crackers,0.52854,0,0,0,0,0,0,0,0.01338,0,0,0,0.00088,29.45236,0,0,66.6475,1.24153
Reduced fat cheese cracker,0.25,cup,0.68136,0,0,0,0,0,0,0,0.01428,0,0,0,0.01459,6.15924,0.11313,0,49.68,0.138
Matzo,1,matzo,1.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,0.0644
Saltine cracker,1,square cracker,0.17265,0,0,0,0,0,0,0,0,0,0,0,0.00003,2.94948,0,0,13.02,0.0879
Peanut butter sandwich cracker,1,sandwich,0.07788,0.00014,0,0,0,0,0,0,0,0.03547,0,0,0.04063,2.65939,0.88318,0,11.856,0.11784
Cheese sandwich cracker,1,sandwich,0.30807,0,0,0,0,0,0,0,0.00413,0,0,0,0,12.83688,0.29582,0,33.39,0.4284
100% whole wheat cracker (Triscuit),1,cracker,0.20808,0.20808,0,0,0,0,0,0,0,0,0,0,0,5.62752,0,0,17.72,0.1356
Reduced-fat Triscuit,1,cracker,0.23408,0.23408,0,0,0,0,0,0,0,0,0,0,0.00007,3.01369,0,0,15.795,0.06162
Corn chips (Fritos),1,cup,1.84536,0,0,0,0,0,0,0,0,0,0,0,3.02886,0,0,0,237.16,2.002
Corn puffs (Cheetos),1,cup,1.1179,0,0,0,0,0,0,0,0.0756,0,0,0,2.3674,9.95085,0,0,193.9,2.3065
"Tortilla chips (Doritos, Tostitos)",1,cup,1.51328,0,0,0,0,0,0,0,0,0,0,0,1.65561,0,0,0,160.32,1.6064
Baked or low-fat tortilla chips,1,cup,1.29801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.15,0.1785
Low-fat corn puffs (cheese curls),1,cup,0.76656,0,0,0,0,0,0,0,0.05184,0,0,0,0.57099,2.33928,0,0,103.68,0.504
"Popcorn (oil popped, no butter)",1,"bag, popped",2.6664,2.6664,0,0,0,0,0,0,0,0,0,0,4.88126,0,0,0,440,4.3032
Buttered popcorn,1,"bag, popped",2.09528,2.09528,0,0,0,0,0,0,0,0,0,0,4.40724,62.32248,0,0,458.48,8.272
Low-fat popcorn,1,"bag, popped",3.37722,3.37722,0,0,0,0,0,0,0,0,0,0,0,38.88423,0,0,327.25,1.0934
Caramel corn,1,cup,0.3332,0.3332,0,0,0,0,0,0,0,0,0,0,0.43657,18.49995,72.82361,0,150.85,1.2635
Hard pretzels,0.25,cup,0.5648,0,0,0,0,0,0,0,0,0,0,0,0,2.3796,0,0,38.1,0.075
Soft pretzel,1,medium (4 oz),6.6677,0,0,0,0,0,0,0,0,0,0,0,0.55992,0,0,0,388.7,0.805
"Snack Mix (pretzel, nut, cereal mix)",0.25,cup,0.36956,0.12195,0,0,0,0,0,0,0.00225,0.11227,0,0,0.12085,5.27006,1.98583,0,47.475,0.37463
Pancakes,2,"medium (5"" across)",2,0.5472,0,0,0,0,0,0,0,0,0,0,0,14.3136,0,0,183.2,0.616
Blueberry pancakes,2,"medium (5"" across)",1,0.1224,0,0,0,0,0,0.1016,0,0,0,0,0,36.3312,3.60189,0,152,1.496
Whole wheat pancakes,2,"medium (5"" across)",2,0.5472,0,0,0,0,0,0,0,0,0,0,1.24036,12.9888,9.90844,0,183.2,1.704
Waffle,1,"round (4"" across)",1.05417,0,0,0,0,0,0,0,0,0,0,0,0,25.60896,3.15051,0,102.96,0.5616
"Bran, multigrain, or wheat waffle",1,"round (4"" across)",1.05417,0,0,0,0,0,0,0,0,0,0,0,0.66725,6.9849,19.51797,0,115.05,0.9165
Lowfat waffle,1,"square (4"" square)",1.00011,0,0,0,0,0,0,0,0,0,0,0,0,4.98834,28.64459,0,87.32,0.111
French toast,1,regular slice (2 oz),1.3052,0,0,0,0,0,0,0,0.052,0.4186,0,0,0.17333,35.1585,15.45674,0,157.95,1.573
French toast sticks,1,fast food order (4 oz),1.68116,0,0,0,0,0,0,0,0,0,0.15794,0,0.08975,183.49236,75.37793,0,385.84,3.5404
"Spaghetti, macaroni, or pasta (plain)",1,"cup, cooked",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0.126
Egg noodles (no fat added),1,"cup, cooked",2,0,0,0,0,0,0,0,0,0,0,0,0,29.7,0,0,211.2,0.48
Egg noodles with butter or oil,1,"cup, cooked",1.9998,0,0,0,0,0,0,0,0,0,0,0,1.00723,40.86,0,0,252.45,1.056
Mung bean noodles,1,"cup, cooked",2.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.6,0.0095
Chow fun rice noodles,1,"cup, cooked",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.2,0.176
Whole wheat spaghetti or pasta (plain),1,"cup, cooked",2.0006,2.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.2,0.126
Cooked barley,0.5,cup,1.00035,1.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.82,0.0729
"Grits, no fat added",0.5,"cup, cooked",0.99946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.66,0.0121
"Grits, with butter",0.5,"cup, cooked",1.00035,0,0,0,0,0,0,0,0,0,0,0,0,35.21232,0,0,88.92,0.75335
Oatmeal (plain),0.5,"cup, cooked",1.00035,1.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.54,0.2106
Oatmeal (flavored),0.5,"cup, cooked",1.00035,1.00035,0,0,0,0,0,0,0,0,0,0,0.0013,0.2106,23.65737,0,106.47,0.2457
"White rice, no fat added",0.5,"cup, cooked",1.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.91,0.0553
"Brown rice, no fat added",0.5,"cup, cooked",1.00035,1.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.25,0.16575
"Wild rice, no fat added",0.5,"cup, cooked",1.00035,1.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.0325
"White rice, with butter or oil",0.5,"cup, cooked",1.00001,0,0,0,0,0,0,0,0,0,0,0,0,16.65045,0,0,118.175,0.4075
Cream of wheat,0.5,"cup, cooked",1.00023,0,0,0,0,0,0,0,0,0,0,0,0.03375,0,0,0,55.22,0.0251
All-Bran cereal,1,cup,1.698,0,0,0,0,0,0,0,0,0,0,0,0,0,42.657,0,156,0.324
Apple Jacks cereal,1,cup,0.5406,0,0,0,0,0,0,0.0132,0,0,0,0,0.0024,3.0699,55.1742,0,117,0.12
Cap'n Crunch cereal,1,cup,0.61128,0.24444,0,0,0,0,0,0,0,0,0,0,0.26048,0,60.34005,0,144.36,0.54
Cheerios,1,cup,1.0137,0.9804,0,0,0,0,0,0,0,0,0,0,0,0,3.93022,0,110.7,0.36
"Chex cereal (corn, wheat, or bran)",1,cup,1.25424,0.312,0,0,0,0,0,0,0,0,0,0,0,0,14.58618,0,143.13,0.1365
Cinnamon Toast Crunch cereal,1,cup,0.79838,0.4522,0,0,0,0,0,0,0,0,0,0,0.15158,28.23552,49.72099,0,160.36,0.684
Cocoa Puffs cereal,1,cup,0.4272,0,0,0,0,0,0,0,0,0,0,0,0.00033,7.0713,54.27698,0,117,0.21
Corn flakes cereal,1,cup,0.8015,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75392,0,90.25,0.0475
Fiber One cereal,1,cup,2.1162,1,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,118.2,0.24
Bran flakes cereal,1,cup,1.24515,0.81495,0,0,0,0,0,0,0,0,0,0,0.0004,0,31.61972,0,144,0.18
Froot Loops cereal,1,cup,0.511,0,0,0,0,0,0,0,0,0,0,0,0,6.73596,50.64031,0,110.04,0.4256
Frosted Mini-Wheats cereal,1,cup,1.6866,1.6866,0,0,0,0,0,0,0,0,0,0,0,0,44.78302,0,204,0.216
Fruity Pebbles cereal,1,cup,0.76608,0,0,0,0,0,0,0,0,0,0,0,0.00008,9.84636,61.22947,0,144.36,0.324
Golden Grahams cereal,1,cup,0.7028,0.2404,0,0,0,0,0,0,0,0,0,0,0,9.864,52.70197,0,148.8,0.24
Granola cereal (homemade),0.5,cup,0.88572,0.65636,0,0,0,0,0,0.11834,0,1.4762,0,0,2.09366,0,22.37802,0,298.9,2.7694
Low-fat granola cereal,0.5,cup,1.1627,1.00705,0,0,0,0,0,0,0,0.0748,0,0,0.07798,9.0981,59.77977,0,209,0.605
Grape-Nuts cereal,0.25,cup,0.84829,0.83385,0,0,0,0,0,0,0,0,0,0,0.00315,0,12.09619,0,97.8275,0.109
Honey Bunches of Oats cereal,1,cup,0.9072,0.4308,0,0,0,0,0,0,0,0,0,0,0.29733,0.0108,32.30645,0,157.6,0.32
Honeycomb cereal,1,cup,0.55814,0.4466,0,0,0,0,0,0,0,0,0,0,0,0,32.07922,0,86.9,0.132
Honey Nut Cheerios,1,cup,0.5994,0.3189,0,0,0,0,0,0,0,0.0249,0,0,0.02427,0,39.55573,0,111.9,0.24
Honey Smacks cereal,1,cup,0.63375,0.63375,0,0,0,0,0,0,0,0,0,0,0.00451,3.24675,84.28414,0,150.93,0.117
"Kashi, puffed",1,cup,0.84672,0.84672,0,0,0,0,0,0,0,0,0,0,0.00005,0,0,0,87.6,0.0792
Kix cereal,1,cup,0.67804,0.23782,0,0,0,0,0,0,0,0,0,0,0,0,8.93255,0,82.94,0.11
Life cereal (plain & cinnamon),1,cup,1.24652,0.80124,0,0,0,0,0,0,0,0,0,0,0,0,32.0971,0,165,0.3564
